date,channels of interest,detect channel,experiment folder,number of GUV,weighted colocalization ch0 ch1,unweighted colocalization ch0 ch1,new punctate ch0,new punctate ch1,weighted colocalization ch0 ch2,unweighted colocalization ch0 ch2,weighted colocalization ch1 ch2,unweighted colocalization ch1 ch2,weighted colocalization ch0 ch1 ch2,unweighted colocalization ch0 ch1 ch2,new punctate ch2
11-27-2021,2,2,data/11-27-2021/DOPC_DOPS_10__Atto/200 nM ALG2,0.0,0.0,,,,,,,,,,
11-27-2021,2,2,data/11-27-2021/DOPC_DOPS_30__Atto/200 nM ALG2,0.0,0.0,,,,,,,,,,
11-27-2021,2,2,data/11-27-2021/DOPC_DOPS_50__Atto,6.0,0.6141304347826086,0.6010134688153265,1.0,1.0,,,,,,,
01-11-2022,2,2,data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2,0.0,0.0,,,,,,,,,,
01-11-2022,2,2,data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C,0.0,0.0,,,,,,,,,,
01-11-2022,2,2,data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1,0.0,0.0,,,,,,,,,,
01-11-2022,2,2,data/01-11-2022/50_DOPS 49.5_ DOPC 0.5_Atto/200nM ALG2,0.0,0.0,,,,,,,,,,
03-02-2022,2,2,data/03-02-2022/49.5_ DOPC_50_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2,737.0,0.0,0.0,0.8629579375848032,0.0,,,,,,,
03-02-2022,2,2,data/03-02-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2,670.0,0.0,0.0,0.39552238805970147,0.0,,,,,,,
03-03-2022,2,2,data/03-03-2022/89.5_ DOPC_10_DOPS_0.5_ Atto/200 nM Atto 488 ALG2,403.0,0.0,0.0,0.4491315136476427,0.0,,,,,,,
